City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kodiak,57.79,-152.4072,7.44,55,0,6.57,US,1697662891
84,archangelos,36.2149,28.1149,20.99,78,3,5.24,GR,1697662891
85,lerwick,60.1545,-1.1494,10.0,87,63,11.15,GB,1697662891
86,isafjordur,66.0755,-23.124,6.09,81,100,3.37,IS,1697662891
87,atafu village,-8.5421,-172.5159,28.51,72,41,3.72,TK,1697662891
88,remire-montjoly,4.9167,-52.2667,27.02,83,100,3.6,GF,1697662891
89,bredasdorp,-34.5322,20.0403,16.05,93,54,5.07,ZA,1697662891
90,klyuchi,52.2667,79.1667,7.76,46,0,3.72,RU,1697662892
91,ciudad acuna,29.3232,-100.9522,30.32,29,0,8.23,MX,1697662831
92,baiyin,36.5583,104.2081,5.25,68,99,2.55,CN,1697662892
93,jindabyne,-36.4167,148.6333,13.1,54,0,1.04,AU,1697662892
94,muscatine,41.4667,-91.1335,14.5,77,75,0.0,US,1697662892
95,west island,-12.1568,96.8225,25.99,83,75,4.63,CC,1697662892
96,antsohihy,-14.8796,47.9875,25.33,83,29,2.02,MG,1697662892
97,kawalu,-7.3817,108.2082,21.37,91,70,0.55,ID,1697662893
98,bako,5.7833,36.5667,18.19,92,99,1.86,ET,1697662893
99,luderitz,-26.6481,15.1594,15.63,83,23,2.42,NA,1697662893
100,ust-nera,64.5667,143.2,-16.55,91,100,1.79,RU,1697662893
101,hadibu,12.65,54.0333,27.64,77,13,2.87,YE,1697662893
102,hawaiian paradise park,19.5933,-154.9731,28.91,77,50,1.34,US,1697662893
103,kegen,43.0197,79.2203,7.49,46,98,0.79,KZ,1697662893
104,el calafate,-50.3408,-72.2768,11.47,61,53,3.93,AR,1697662893
105,nazca,-14.8333,-74.95,27.68,49,41,3.73,PE,1697662893
106,yellowknife,62.456,-114.3525,6.9,99,100,4.63,CA,1697662873
107,nabire,-3.3667,135.4833,24.06,89,75,1.36,ID,1697662894
108,sinop,41.7711,34.8709,10.16,98,100,2.2,TR,1697662894
109,diboll,31.1871,-94.781,27.34,46,0,4.01,US,1697662894
110,aasiaat,68.7098,-52.8699,-15.44,92,68,2.18,GL,1697662894
111,farasan,16.7022,42.1183,30.63,66,17,1.28,SA,1697662894
112,dakhla,23.6848,-15.958,23.01,88,0,6.17,EH,1697662894
113,ketchikan,55.3422,-131.6461,11.99,95,100,5.59,US,1697662895
114,ancud,-41.8697,-73.8203,11.1,82,12,5.14,CL,1697662895
115,tomaszow mazowiecki,51.5313,20.0086,5.87,65,16,2.21,PL,1697662895
116,magadi,12.9667,77.2333,22.09,76,99,2.37,IN,1697662895
117,yabassi,4.457,9.9682,23.76,97,100,0.35,CM,1697662895
118,mocimboa,-11.3167,40.35,24.05,91,61,2.62,MZ,1697662895
119,quang ngai,15.1167,108.8,24.22,90,100,1.29,VN,1697662896
120,puerto armuelles,8.2833,-82.8667,29.99,72,100,2.24,PA,1697662896
121,lata,40.1629,-8.3327,18.37,95,97,5.12,PT,1697662896
122,bonthe,7.5264,-12.505,26.4,83,73,1.95,SL,1697662896
123,selfoss,63.9331,-20.9971,8.91,80,100,11.44,IS,1697662896
124,olinda,-8.0089,-34.8553,25.85,73,40,5.66,BR,1697662896
125,luanda,-8.8368,13.2343,25.0,88,75,4.63,AO,1697662897
126,duobao,30.67,112.6895,17.86,77,1,7.17,CN,1697662897
127,medina,24.4686,39.6142,32.24,15,0,3.6,SA,1697662897
128,alofi,-19.0595,-169.9187,24.94,57,75,7.72,NU,1697662897
129,moyale,3.5167,39.0584,20.42,86,100,5.82,KE,1697662897
130,port-cartier,50.0334,-66.8654,12.08,65,6,3.21,CA,1697662897
131,margaret river,-33.95,115.0667,9.61,91,51,3.38,AU,1697662897
132,xilin hot,43.9667,116.0333,1.01,51,8,5.43,CN,1697662898
133,samoylovka,51.184,43.7081,5.41,58,100,4.13,RU,1697662898
134,blackmans bay,-43.0167,147.3167,10.29,91,89,0.42,AU,1697662898
135,enewetak,11.3474,162.3373,28.4,78,13,8.06,MH,1697662898
136,colonia,50.9333,6.95,11.99,85,100,3.6,DE,1697662898
137,tazovsky,67.4667,78.7,4.41,93,100,5.82,RU,1697662898
138,gornozavodsk,58.3758,58.3211,2.82,94,100,5.74,RU,1697662899
139,pont rouge,48.8833,-72.0825,14.16,67,3,2.29,CA,1697662899
140,granbury,32.4421,-97.7942,29.6,28,0,6.17,US,1697662789
141,laguna,38.421,-121.4238,32.02,40,0,2.06,US,1697662899
142,sandnessjoen,66.0217,12.6316,1.06,69,0,5.14,NO,1697662899
143,alta,69.9689,23.2717,-1.41,93,75,1.03,NO,1697662899
144,pionerskiy,54.9508,20.2275,10.08,81,100,5.99,RU,1697662899
145,sechura,-5.5569,-80.8222,25.98,59,65,8.89,PE,1697662899
146,nogliki,51.8333,143.1667,5.75,83,100,1.79,RU,1697662900
147,pontianak,-0.0333,109.3333,22.99,100,100,1.03,ID,1697662900
148,ocean shores,46.9737,-124.1563,21.27,71,100,3.09,US,1697662900
149,saldanha,-33.0117,17.9442,20.03,81,27,5.59,ZA,1697662900
150,hermanus,-34.4187,19.2345,16.8,87,55,8.25,ZA,1697662900
151,longyearbyen,78.2186,15.6401,0.91,80,40,9.26,SJ,1697662900
152,saint-philippe,-21.3585,55.7679,24.77,84,92,4.02,RE,1697662900
153,goronyo,13.4423,5.6763,31.73,18,100,3.52,NG,1697662901
154,port douglas,-16.4833,145.4667,23.63,75,94,6.82,AU,1697662901
155,caledonia,42.8078,-87.9242,18.39,63,0,6.69,US,1697662732
156,haiku-pauwela,20.9219,-156.3051,28.98,63,4,3.58,US,1697662901
157,vadso,70.0744,29.7487,0.49,80,40,4.63,NO,1697662901
158,sao luiz gonzaga,-28.4083,-54.9608,15.77,94,100,6.03,BR,1697662901
159,redwood falls,44.5394,-95.1169,15.59,76,100,5.66,US,1697662901
160,port-saint-louis-du-rhone,43.3833,4.8,22.13,73,0,8.23,FR,1697662901
161,sanghar,26.0466,68.9481,26.11,51,35,0.31,PK,1697662902
162,geraldton,-28.7667,114.6,14.23,88,94,2.57,AU,1697662902
163,sainte-anne-des-monts,49.124,-66.4924,9.93,81,5,8.75,CA,1697662902
164,macheng,31.1783,115.0319,18.25,73,1,4.57,CN,1697662902
165,shixing,24.9482,114.0657,22.88,89,100,0.89,CN,1697662902
166,puerto aysen,-45.4,-72.7,16.82,68,72,2.26,CL,1697662902
167,uturoa,-16.7333,-151.4333,26.36,77,27,5.26,PF,1697662902
168,polyarnyy,69.1989,33.4478,1.58,61,100,9.7,RU,1697662902
169,holualoa,19.6228,-155.9522,26.54,71,40,4.12,US,1697662695
170,college,64.8569,-147.8028,-1.63,86,100,4.63,US,1697662903
171,la passe,45.5549,-0.8967,17.21,88,70,4.0,FR,1697662903
172,ad dilam,23.9915,47.1627,28.23,17,0,2.1,SA,1697662903
173,ta`u,-14.2336,-169.5144,26.15,81,100,9.83,AS,1697662903
174,namibe,-15.1961,12.1522,18.09,85,2,2.48,AO,1697662903
175,juan griego,11.0817,-63.9655,29.73,70,13,5.32,VE,1697662903
176,vila franca do campo,37.7167,-25.4333,23.82,99,41,9.12,PT,1697662903
177,bogatic,44.8375,19.4806,9.55,80,98,2.3,RS,1697662904
178,porbandar,21.6422,69.6093,27.23,73,0,3.31,IN,1697662904
179,harper,4.375,-7.7169,25.68,88,20,2.41,LR,1697662904
180,villa mercedes,-33.6757,-65.4578,10.47,72,100,6.65,AR,1697662904
181,kashgar,39.4547,75.9797,13.56,28,20,2.0,CN,1697662904
182,tshikapa,-6.4167,20.8,21.95,95,100,0.61,CD,1697662904
183,lisala,2.15,21.5167,21.19,99,100,1.06,CD,1697662904
184,san juan de miraflores,-12.1629,-76.9635,21.29,83,92,3.93,PE,1697662904
185,cidreira,-30.1811,-50.2056,17.07,75,100,4.53,BR,1697662905
186,nova sintra,14.8667,-24.7167,24.96,70,0,4.53,CV,1697662905
187,lubang,13.8584,120.124,27.84,80,27,8.49,PH,1697662905
188,punta arenas,-53.15,-70.9167,15.06,47,0,9.26,CL,1697662892
189,mount gambier,-37.8333,140.7667,11.77,51,13,2.89,AU,1697662906
190,aykhal,66.0,111.5,-14.41,97,73,1.34,RU,1697662906
191,port lincoln,-34.7333,135.8667,16.71,46,22,3.39,AU,1697662906
192,xai-xai,-25.0519,33.6442,20.83,94,2,2.96,MZ,1697662906
193,jayapura,-2.5333,140.7,23.66,89,75,1.56,ID,1697662906
194,port elizabeth,-33.918,25.5701,18.16,92,75,2.57,ZA,1697662906
195,viedma,-40.8135,-62.9967,25.09,17,59,7.89,AR,1697662906
196,ar rass,25.8694,43.4973,27.58,13,52,5.24,SA,1697662907
197,quellon,-43.1167,-73.6167,12.98,75,48,1.62,CL,1697662907
198,rouissat,31.9243,5.3502,29.04,17,0,3.6,DZ,1697662907
199,scottburgh,-30.2867,30.7532,18.98,91,55,1.68,ZA,1697662907
200,severnoye,56.3491,78.3619,8.32,70,74,4.02,RU,1697662907
201,murray,40.6669,-111.888,23.68,40,0,5.66,US,1697662907
202,roquemaure,44.0494,4.7774,21.2,72,100,6.69,FR,1697662907
203,colonia del sacramento,-34.4667,-57.85,16.07,63,0,6.17,UY,1697662908
204,leava,-14.3,-178.1667,26.6,79,100,9.8,WF,1697662908
205,hasaki,35.7333,140.8333,15.22,69,52,5.61,JP,1697662908
206,saint-pierre,-21.3393,55.4781,24.82,83,100,1.54,RE,1697662908
207,lang son,21.8333,106.7333,21.11,92,100,1.82,VN,1697662908
208,harnai,30.1005,67.9374,19.34,52,0,1.56,PK,1697662908
209,freetown,8.484,-13.2299,26.84,83,75,3.6,SL,1697662908
210,masterton,-40.9597,175.6575,15.49,54,19,1.11,NZ,1697662909
211,richards bay,-28.783,32.0377,19.25,93,3,1.8,ZA,1697662909
212,lospalos,-8.5186,127.0025,20.27,85,47,1.05,TL,1697662909
213,barentu,15.1139,37.5928,26.9,49,6,1.82,ER,1697662910
214,lawrence,38.9717,-95.2353,18.62,40,79,3.5,US,1697662807
215,chongjin,41.7956,129.7758,11.92,61,100,2.35,KP,1697662910
216,medvedevo,56.6339,47.804,2.7,86,34,8.94,RU,1697662910
217,pratt,37.6439,-98.7376,23.2,30,0,5.14,US,1697662910
218,amos,48.5669,-78.1162,9.13,72,100,4.17,CA,1697662911
219,fort bragg,35.139,-79.006,22.12,52,17,1.34,US,1697662912
220,hamilton,39.1834,-84.5333,19.22,56,0,6.17,US,1697662688
221,huanggang,23.677,116.9996,22.94,84,82,2.38,CN,1697662912
222,cajabamba,-7.6167,-78.05,19.46,47,98,3.29,PE,1697662913
223,hajjah,15.6943,43.6058,18.99,69,90,0.43,YE,1697662913
224,prineville,44.2999,-120.8345,28.22,26,0,4.12,US,1697662914
225,auki,-8.7676,160.7034,27.07,76,38,1.37,SB,1697662914
226,aripuana,-9.1667,-60.6333,35.19,36,79,1.15,BR,1697662914
227,juan de ayolas,-27.4,-56.9,22.14,80,88,5.54,PY,1697662914
228,yatou,37.15,122.3833,16.5,77,100,3.5,CN,1697662914
